id,player,team,year,season,salary,salary_cap,salary_cap_pct,salary_tier,salary_pct_change,is_max,is_new_team,is_contract_year,is_moved_midseason,age,gp,w_pct,min,off_rating,def_rating,net_rating,ast_pct,ast_to,reb_pct,ts_pct,usg_pct,pie,poss,fgm_pg,fga_pg,fg_pct,total_minutes,analysis_sample
aj_griffin_atl_23,AJ Griffin,ATL,2023,2022-23,3536160.0,123655000.0,2.86,bench,,0,0,0,0,19.0,72,0.472,19.5,113.6,112.0,1.5,0.07,1.74,0.053,0.577,0.174,0.077,3005,3.4,7.4,0.465,1404.0,True
aaro_brooks_ind_17,Aaron Brooks,IND,2017,2016-17,2700000.0,94143000.0,2.87,bench,,0,0,0,0,32.0,65,0.554,13.7,101.8,103.4,-1.6,0.216,1.89,0.037,0.507,0.186,0.062,1803,1.9,4.6,0.403,890.5,True
aaro_gordon_orl_17,Aaron Gordon,ORL,2017,2016-17,4351320.0,94143000.0,4.62,bench,,0,0,1,0,21.0,80,0.363,28.7,107.2,110.4,-3.1,0.097,1.69,0.086,0.53,0.197,0.088,4680,4.9,10.8,0.454,2296.0,True
aaro_gordon_orl_18,Aaron Gordon,ORL,2018,2017-18,5504420.0,99030000.0,5.56,bench,26.500004596306415,0,0,1,0,22.0,58,0.328,32.9,106.3,108.3,-2.0,0.111,1.27,0.116,0.53,0.238,0.113,3989,6.5,14.9,0.434,1908.1999999999998,True
aaro_gordon_orl_19,Aaron Gordon,ORL,2019,2018-19,21590909.0,101869000.0,21.19,star,292.2467580598864,0,0,0,0,23.0,78,0.513,33.8,107.4,105.9,1.5,0.166,1.78,0.106,0.538,0.213,0.109,5456,6.0,13.4,0.449,2636.3999999999996,True
aaro_gordon_orl_20,Aaron Gordon,ORL,2020,2019-20,19863636.0,109140000.0,18.2,star,-8.000001296842107,0,0,0,0,24.0,62,0.484,32.5,108.6,109.7,-1.2,0.165,2.28,0.114,0.516,0.205,0.104,4182,5.4,12.4,0.437,2015.0,True
aaro_gordon_den_22,Aaron Gordon,DEN,2022,2021-22,16409091.0,112414000.0,14.6,starter,-9.52381083661532,0,0,0,0,26.0,75,0.613,31.7,117.3,111.1,6.2,0.109,1.41,0.095,0.602,0.194,0.096,4908,5.8,11.1,0.52,2377.5,True
aaro_gordon_den_23,Aaron Gordon,DEN,2023,2022-23,19690909.0,123655000.0,15.92,star,19.999998781163452,0,0,0,0,27.0,68,0.662,30.2,123.0,110.9,12.1,0.129,2.07,0.112,0.617,0.206,0.112,4288,6.3,11.2,0.564,2053.6,True
aaro_gordon_den_24,Aaron Gordon,DEN,2024,2023-24,22266182.0,136021000.0,16.37,star,13.078487133326355,0,0,0,0,28.0,73,0.671,31.5,119.8,111.1,8.7,0.147,2.47,0.104,0.607,0.174,0.103,4697,5.5,9.8,0.556,2299.5,True
aaro_gordon_den_25,Aaron Gordon,DEN,2025,2024-25,22841455.0,140588000.0,16.25,star,2.5836176134732103,0,0,0,0,29.0,51,0.647,28.4,122.5,113.0,9.5,0.143,2.25,0.086,0.65,0.186,0.104,3068,5.2,9.7,0.531,1448.3999999999999,True
