id,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT,SEASON
a.j._lawson_tor_25,A.J. Lawson,TOR,24.0,26,0.538,18.7,109.7,111.1,-1.4,0.093,2.07,0.08,0.542,0.189,0.082,1050,3.1,7.3,0.421,2024-25
aj_green_mil_24,AJ Green,MIL,24.0,56,0.625,11.0,114.0,110.5,3.5,0.068,2.5,0.053,0.617,0.15,0.068,1269,1.5,3.5,0.423,2023-24
aj_green_mil_25,AJ Green,MIL,25.0,73,0.603,22.7,114.0,107.6,6.4,0.086,2.7,0.051,0.621,0.123,0.058,3487,2.5,5.8,0.429,2024-25
aj_green_mil_26,AJ Green,MIL,26.0,78,0.397,29.1,113.1,116.7,-3.6,0.09,2.03,0.046,0.627,0.135,0.058,4704,3.4,7.9,0.424,2025-26
aj_griffin_atl_23,AJ Griffin,ATL,19.0,72,0.472,19.5,113.6,112.0,1.5,0.07,1.74,0.053,0.577,0.174,0.077,3005,3.4,7.4,0.465,2022-23
aj_johnson_tot_25,AJ Johnson,TOT,20.0,29,0.276,22.0,104.1,115.6,-11.5,0.178,2.17,0.042,0.48,0.173,0.053,1342,2.8,7.3,0.385,2024-25
aaro_brooks_ind_17,Aaron Brooks,IND,32.0,65,0.554,13.7,101.8,103.4,-1.6,0.216,1.89,0.037,0.507,0.186,0.062,1803,1.9,4.6,0.403,2016-17
aaro_gordon_orl_17,Aaron Gordon,ORL,21.0,80,0.363,28.7,107.2,110.4,-3.1,0.097,1.69,0.086,0.53,0.197,0.088,4680,4.9,10.8,0.454,2016-17
aaro_gordon_orl_18,Aaron Gordon,ORL,22.0,58,0.328,32.9,106.3,108.3,-2.0,0.111,1.27,0.116,0.53,0.238,0.113,3989,6.5,14.9,0.434,2017-18
aaro_gordon_orl_19,Aaron Gordon,ORL,23.0,78,0.513,33.8,107.4,105.9,1.5,0.166,1.78,0.106,0.538,0.213,0.109,5456,6.0,13.4,0.449,2018-19
aaro_gordon_orl_20,Aaron Gordon,ORL,24.0,62,0.484,32.5,108.6,109.7,-1.2,0.165,2.28,0.114,0.516,0.205,0.104,4182,5.4,12.4,0.437,2019-20
aaro_gordon_tot_21,Aaron Gordon,TOT,25.0,50,0.58,27.7,112.5,110.4,2.1,0.165,1.66,0.102,0.547,0.204,0.095,2868,4.6,10.0,0.463,2020-21
aaro_gordon_den_22,Aaron Gordon,DEN,26.0,75,0.613,31.7,117.3,111.1,6.2,0.109,1.41,0.095,0.602,0.194,0.096,4908,5.8,11.1,0.52,2021-22
aaro_gordon_den_23,Aaron Gordon,DEN,27.0,68,0.662,30.2,123.0,110.9,12.1,0.129,2.07,0.112,0.617,0.206,0.112,4288,6.3,11.2,0.564,2022-23
aaro_gordon_den_24,Aaron Gordon,DEN,28.0,73,0.671,31.5,119.8,111.1,8.7,0.147,2.47,0.104,0.607,0.174,0.103,4697,5.5,9.8,0.556,2023-24
aaro_gordon_den_25,Aaron Gordon,DEN,29.0,51,0.647,28.4,122.5,113.0,9.5,0.143,2.25,0.086,0.65,0.186,0.104,3068,5.2,9.7,0.531,2024-25
aaro_gordon_den_26,Aaron Gordon,DEN,30.0,36,0.75,27.9,124.7,112.0,12.7,0.13,2.53,0.102,0.62,0.213,0.117,2096,5.5,11.1,0.497,2025-26
aaro_harrison_dal_18,Aaron Harrison,DAL,23.0,9,0.222,25.9,98.1,112.2,-14.1,0.072,3.67,0.049,0.392,0.147,0.022,479,2.1,7.7,0.275,2017-18
aaro_holiday_ind_19,Aaron Holiday,IND,22.0,50,0.62,12.9,107.2,100.2,7.0,0.18,2.18,0.049,0.518,0.206,0.078,1393,2.1,5.2,0.401,2018-19
aaro_holiday_ind_20,Aaron Holiday,IND,23.0,66,0.636,24.5,109.1,106.9,2.2,0.188,2.56,0.046,0.521,0.182,0.078,3398,3.5,8.5,0.414,2019-20
aaro_holiday_ind_21,Aaron Holiday,IND,24.0,66,0.455,17.8,110.1,110.3,-0.2,0.139,1.86,0.036,0.503,0.189,0.057,2560,2.6,6.6,0.39,2020-21
aaro_holiday_tot_22,Aaron Holiday,TOT,25.0,63,0.54,16.2,106.8,108.2,-1.4,0.223,2.28,0.058,0.544,0.182,0.088,2113,2.4,5.4,0.447,2021-22
aaro_holiday_atl_23,Aaron Holiday,ATL,26.0,63,0.508,13.4,110.8,110.0,0.9,0.135,2.47,0.043,0.528,0.129,0.054,1819,1.5,3.5,0.418,2022-23
aaro_holiday_hou_24,Aaron Holiday,HOU,27.0,78,0.5,16.3,110.5,107.6,2.9,0.157,2.64,0.045,0.578,0.158,0.078,2706,2.4,5.3,0.446,2023-24
aaro_holiday_hou_25,Aaron Holiday,HOU,28.0,62,0.629,12.8,110.3,103.6,6.7,0.142,2.24,0.044,0.594,0.162,0.082,1689,1.9,4.3,0.437,2024-25
aaro_holiday_hou_26,Aaron Holiday,HOU,29.0,57,0.667,13.7,114.6,106.3,8.3,0.105,1.58,0.035,0.578,0.159,0.063,1618,1.8,4.4,0.417,2025-26
aaro_jackson_hou_18,Aaron Jackson,HOU,32.0,1,0.0,34.5,88.1,107.8,-19.8,0.053,1.0,0.044,0.405,0.149,-0.01,67,3.0,9.0,0.333,2017-18
aaro_nesmith_bos_21,Aaron Nesmith,BOS,21.0,46,0.478,14.5,108.6,109.1,-0.5,0.047,1.0,0.093,0.573,0.133,0.06,1409,1.7,3.9,0.438,2020-21
aaro_nesmith_bos_22,Aaron Nesmith,BOS,22.0,52,0.615,11.0,107.3,104.3,3.0,0.057,0.71,0.073,0.507,0.164,0.048,1196,1.4,3.5,0.396,2021-22
aaro_nesmith_ind_23,Aaron Nesmith,IND,23.0,73,0.411,24.9,113.8,118.5,-4.7,0.073,1.31,0.076,0.566,0.168,0.059,3863,3.5,8.1,0.427,2022-23
aaro_nesmith_ind_24,Aaron Nesmith,IND,24.0,72,0.569,27.7,119.3,115.0,4.3,0.067,1.69,0.069,0.631,0.158,0.071,4249,4.4,8.8,0.496,2023-24
aaro_nesmith_ind_25,Aaron Nesmith,IND,25.0,45,0.644,24.9,120.1,111.5,8.5,0.063,1.46,0.078,0.653,0.171,0.087,2373,4.3,8.4,0.507,2024-25
aaro_nesmith_ind_26,Aaron Nesmith,IND,26.0,45,0.222,29.7,111.1,118.4,-7.3,0.091,1.37,0.067,0.554,0.19,0.067,2871,4.7,11.4,0.414,2025-26
aaro_wiggins_okc_22,Aaron Wiggins,OKC,23.0,50,0.26,24.2,104.5,112.6,-8.1,0.083,1.26,0.069,0.556,0.149,0.062,2546,3.1,6.7,0.463,2021-22
aaro_wiggins_okc_23,Aaron Wiggins,OKC,24.0,70,0.529,18.5,112.7,111.2,1.5,0.084,1.43,0.079,0.607,0.143,0.077,2754,2.7,5.2,0.512,2022-23
aaro_wiggins_okc_24,Aaron Wiggins,OKC,25.0,78,0.705,15.7,115.6,110.0,5.7,0.096,1.54,0.075,0.664,0.163,0.096,2556,2.7,4.8,0.562,2023-24
aaro_wiggins_okc_25,Aaron Wiggins,OKC,26.0,76,0.816,22.9,120.7,106.6,14.2,0.102,1.94,0.081,0.596,0.2,0.105,3698,4.7,9.6,0.488,2024-25
aaro_wiggins_okc_26,Aaron Wiggins,OKC,27.0,65,0.769,21.8,112.8,106.7,6.2,0.11,1.35,0.066,0.538,0.194,0.082,2986,3.6,8.2,0.431,2025-26
