player,season,team,salary,salary_cap_pct,salary_tier,is_contract_year,age,gp,min,pie,ts_pct,usg_pct,fgm_pg,fg_pct,pred_salary_cap_pct,residual_actual_minus_pred,abs_residual
Russell Westbrook,2025-26,SAC,2296274.0,1.48,bench,0,37.0,64,28.9,0.105,0.528,0.252,5.6,0.427,20.040802682414192,-18.56080268241419,18.56080268241419
Carmelo Anthony,2019-20,POR,2159029.0,1.98,bench,0,36.0,58,32.8,0.078,0.525,0.214,5.8,0.43,20.19563779594818,-18.21563779594818,18.21563779594818
Pascal Siakam,2019-20,TOR,2351839.0,2.15,bench,1,26.0,60,35.2,0.129,0.554,0.278,8.3,0.453,20.355019789014314,-18.205019789014315,18.205019789014315
Desmond Bane,2023-24,MEM,3845083.0,2.83,bench,1,26.0,42,34.4,0.128,0.589,0.273,8.6,0.464,19.70271483266343,-16.872714832663426,16.872714832663426
Dwyane Wade,2018-19,MIA,2393887.0,2.35,bench,0,37.0,72,26.2,0.115,0.51,0.269,5.8,0.433,19.072058327402434,-16.722058327402433,16.722058327402433
Tyrese Maxey,2023-24,PHI,4343920.0,3.19,bench,1,23.0,70,37.5,0.129,0.573,0.273,9.1,0.45,18.653651456478975,-15.463651456478976,15.463651456478976
Desmond Bane,2022-23,MEM,2130240.0,1.72,bench,1,25.0,58,31.7,0.131,0.606,0.252,7.8,0.479,17.111946425479015,-15.391946425479015,15.391946425479015
LaMarcus Aldridge,2021-22,BRK,2641691.0,2.35,bench,0,36.0,47,22.3,0.128,0.604,0.219,5.4,0.55,17.620563998856525,-15.270563998856526,15.270563998856526
Donovan Mitchell,2020-21,UTA,5195501.0,4.76,bench,1,24.0,53,33.4,0.138,0.569,0.327,9.0,0.438,19.846491042266685,-15.086491042266685,15.086491042266685
Derrick Rose,2018-19,MIN,2176260.0,2.14,bench,1,30.0,51,27.3,0.128,0.557,0.261,7.1,0.482,17.14512969609297,-15.005129696092968,15.005129696092968
Domantas Sabonis,2019-20,IND,3529555.0,3.23,bench,1,24.0,62,34.8,0.156,0.586,0.229,7.4,0.54,18.21685497695607,-14.98685497695607,14.98685497695607
Jalen Johnson,2024-25,ATL,4510905.0,3.21,bench,1,23.0,36,35.7,0.135,0.569,0.214,7.5,0.5,18.196490357505173,-14.986490357505172,14.986490357505172
John Collins,2019-20,ATL,2686560.0,2.46,bench,1,22.0,41,33.2,0.152,0.659,0.224,8.6,0.583,17.09443825565947,-14.634438255659468,14.634438255659468
Carmelo Anthony,2020-21,POR,1620564.0,1.48,bench,1,37.0,69,24.5,0.088,0.547,0.228,4.7,0.421,16.038607738506382,-14.558607738506382,14.558607738506382
Jalen Williams,2024-25,OKC,4775760.0,3.4,bench,1,24.0,69,32.4,0.138,0.573,0.27,8.2,0.484,17.599501425742105,-14.199501425742104,14.199501425742104
Luka Dončić,2021-22,DAL,10174391.0,9.05,starter,1,23.0,65,35.4,0.191,0.571,0.368,9.9,0.457,23.24808735218418,-14.198087352184178,14.198087352184178
Carmelo Anthony,2021-22,LAL,2641691.0,2.35,bench,0,38.0,69,26.0,0.089,0.579,0.195,4.6,0.441,16.26382964608789,-13.913829646087889,13.913829646087889
Al Horford,2025-26,GSW,5685000.0,3.68,bench,0,40.0,45,21.5,0.104,0.554,0.163,3.1,0.426,17.558421559792592,-13.878421559792592,13.878421559792592
Alperen Sengun,2023-24,HOU,3536280.0,2.6,bench,0,21.0,63,32.5,0.149,0.585,0.27,8.4,0.537,16.339341182002105,-13.739341182002105,13.739341182002105
Luka Dončić,2020-21,DAL,8049360.0,7.38,bench,1,22.0,66,34.3,0.179,0.587,0.35,9.8,0.479,21.11442018494049,-13.73442018494049,13.73442018494049
