id,AGE,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,REB_PCT,TS_PCT,USG_PCT,PIE,POSS,FGM_PG,FGA_PG,FG_PCT
a.j._lawson_tor_25,24.0,26,0.538,18.7,109.7,111.1,-1.4,0.093,2.07,0.08,0.542,0.189,0.082,1050,3.1,7.3,0.421
aj_green_mil_24,24.0,56,0.625,11.0,114.0,110.5,3.5,0.068,2.5,0.053,0.617,0.15,0.068,1269,1.5,3.5,0.423
aj_green_mil_25,25.0,73,0.603,22.7,114.0,107.6,6.4,0.086,2.7,0.051,0.621,0.123,0.058,3487,2.5,5.8,0.429
aj_green_mil_26,26.0,78,0.397,29.1,113.1,116.7,-3.6,0.09,2.03,0.046,0.627,0.135,0.058,4704,3.4,7.9,0.424
aj_johnson_tot_25,20.0,29,0.276,22.0,104.1,115.6,-11.5,0.178,2.17,0.042,0.48,0.173,0.053,1342,2.8,7.3,0.385
aaro_gordon_tot_21,25.0,50,0.58,27.7,112.5,110.4,2.1,0.165,1.66,0.102,0.547,0.204,0.095,2868,4.6,10.0,0.463
aaro_harrison_dal_18,23.0,9,0.222,25.9,98.1,112.2,-14.1,0.072,3.67,0.049,0.392,0.147,0.022,479,2.1,7.7,0.275
aaro_holiday_tot_22,25.0,63,0.54,16.2,106.8,108.2,-1.4,0.223,2.28,0.058,0.544,0.182,0.088,2113,2.4,5.4,0.447
aaro_jackson_hou_18,32.0,1,0.0,34.5,88.1,107.8,-19.8,0.053,1.0,0.044,0.405,0.149,-0.01,67,3.0,9.0,0.333
aaro_wiggins_okc_22,23.0,50,0.26,24.2,104.5,112.6,-8.1,0.083,1.26,0.069,0.556,0.149,0.062,2546,3.1,6.7,0.463
adam_mokoka_chi_20,21.0,11,0.273,10.2,121.4,104.4,17.1,0.043,2.0,0.044,0.538,0.11,0.023,238,1.1,2.5,0.429
adam_bal_mem_26,22.0,8,0.125,30.2,99.6,130.0,-30.3,0.119,3.17,0.049,0.573,0.134,0.052,530,3.5,8.5,0.412
adem_bona_phi_25,22.0,58,0.207,15.6,107.4,114.0,-6.6,0.043,0.44,0.13,0.714,0.135,0.093,1900,2.3,3.3,0.703
